Business_Name,Contact_Email,Industry,City,Phone,Notes
City of Corner Brook,business@cornerbrook.com,Government,Corner Brook,+1 (709) 637-1500,Official city business department
Greater Corner Brook Board of Trade,info@gcbbt.com,Business Association,Corner Brook,+1 (709) 634-5831,Executive Director: Sherry Hynes
Quality Inn Corner Brook,info@qualityinncornerbrook.com,Hospitality,Corner Brook,+1 (709) 639-8901,Hotel - verified email
Marble Mountain Resort,info@marblemountain.ca,Tourism,Corner Brook,+1 (709) 637-7600,Ski resort - check website for contact
Corner Brook Pulp and Paper,info@kruger.com,Manufacturing,Corner Brook,+1 (709) 637-4000,Check website for contact form
Western Memorial Regional Hospital,info@westernhealth.nl.ca,Healthcare,Corner Brook,+1 (709) 637-5000,Check website for contact
College of the North Atlantic,info@cna.nl.ca,Education,Corner Brook,+1 (709) 637-8500,Check website for contact
Corner Brook Area Chamber of Commerce,info@cornerbrookchamber.ca,Business Association,Corner Brook,+1 (709) 634-5831,Check website
Newfoundland Power,info@newfoundlandpower.com,Utilities,Corner Brook,+1 (709) 737-5700,Check website for contact
Newfoundland and Labrador Housing,info@nlhc.nl.ca,Housing,Corner Brook,+1 (709) 724-3000,Check website for contact
Royal Bank Corner Brook,branch@rbc.com,Finance,Corner Brook,+1 (709) 634-8200,Use branch contact form
TD Bank Corner Brook,info@td.com,Finance,Corner Brook,+1 (709) 634-8200,Use branch contact form
ScotiaBank Corner Brook,info@scotiabank.com,Finance,Corner Brook,+1 (709) 634-8200,Use branch contact form
Corner Brook Co-op,info@cornerbrookcoop.ca,Retail,Corner Brook,+1 (709) 634-8200,Check website
Sobeys Corner Brook,info@sobeys.com,Retail,Corner Brook,+1 (709) 634-8200,Check website
Walmart Corner Brook,info@walmart.ca,Retail,Corner Brook,+1 (709) 634-8200,Check website
Canadian Tire Corner Brook,info@canadiantire.ca,Retail,Corner Brook,+1 (709) 634-8200,Check website
Home Hardware Corner Brook,info@homehardware.ca,Retail,Corner Brook,+1 (709) 634-8200,Check website
Tim Hortons Corner Brook,info@timhortons.com,Restaurant,Corner Brook,+1 (709) 634-8200,Check website
McDonald's Corner Brook,info@mcdonalds.ca,Restaurant,Corner Brook,+1 (709) 634-8200,Check website

